Number of Individual,Calendar Month,Latitude,Longitude
1,2019-FEB,37.463115,-122.133456
1,2019-FEB,37.464961,-121.907377
2,2019-FEB,37.465023,-121.907406
1,2019-FEB,37.465598,-121.909149
7,2019-FEB,37.4664,-121.911998
2,2019-FEB,37.469293,-121.916204
2,2019-FEB,37.469376,-121.9168
1,2019-FEB,37.469588,-121.9181
1,2019-FEB,37.469608,-121.914401
1,2019-FEB,37.47013,-122.145467
1,2019-FEB,37.471151,-121.912361
1,2019-FEB,37.471178,-121.893508
2,2019-FEB,37.471634,-121.146264
1,2019-FEB,37.472745,-121.153147
3,2019-FEB,37.47331,-121.912244
1,2019-FEB,37.473509,-121.918058
3,2019-FEB,37.47445,-121.120533
2,2019-FEB,37.475028,-121.91736
1,2019-FEB,37.475372,-122.145379
1,2019-FEB,37.475869,-121.916288
1,2019-FEB,37.47628,-121.91935
3,2019-FEB,37.476675,-121.913928
1,2019-FEB,37.476904,-121.915349
1,2019-FEB,37.477525,-121.914287
1,2019-FEB,37.477617,-122.157878
4,2019-FEB,37.478007,-121.922146
2,2019-FEB,37.478041,-121.914699
1,2019-FEB,37.478726,-121.914993
1,2019-FEB,37.478832,-121.901215
1,2019-FEB,37.479524,-121.922633
1,2019-FEB,37.480064,-122.231529
1,2019-FEB,37.481305,-121.915052
1,2019-FEB,37.481637,-121.916557
2,2019-FEB,37.481835,-121.921222
1,2019-FEB,37.482303,-121.91977
1,2019-FEB,37.482533,-121.92126
2,2019-FEB,37.483253,-121.915234
1,2019-FEB,37.48327,-122.183523
3,2019-FEB,37.484184,-121.918518
1,2019-FEB,37.484474,-121.92345
2,2019-FEB,37.484512,-121.899116
2,2019-FEB,37.484738,-121.918364
3,2019-FEB,37.485659,-121.926815
1,2019-FEB,37.485671,-121.916544
1,2019-FEB,37.485973,-121.924085
7,2019-FEB,37.485985,-122.190027
1,2019-FEB,37.486186,-121.900191
2,2019-FEB,37.486356,-121.923047
4,2019-FEB,37.487174,-121.923989
